"Riddle","Solution"
"I am an odd number. Take away one letter and I become even. What number am I?","The number is 'Seven.' When you remove the letter 's,' the word becomes 'even,' which is the opposite of being an odd number."
"What number do you get when you multiply all the numbers on a telephone's number pad?","The answer is zero. A telephone number pad includes the digit 0, and multiplying any number by 0 results in 0."
"If two's company and three's a crowd, what are four and five?","The answer is nine. This riddle is a play on words using addition: 4+5=9."
"What has a face and two hands but no arms or legs?","The answer is a clock. A clock has a face (the dial) and hands (the hour and minute hands) but doesn't have arms or legs."
"What number do you get when you divide the circumference of a pumpkin by its diameter?","The answer is Pi (π), a mathematical constant approximately equal to 3.14159, representing the ratio of the circumference to the diameter of any circle."
"I am a three-digit number. My tens digit is five more than my ones digit. My hundreds digit is eight less than my tens digit. What number am I?","The number is 194. Explanation: The ones digit is 4, the tens digit is 4+5=9, and the hundreds digit is 9−8=1."
"How many sides does a circle have?","The answer is two: the inside and the outside of the circle. This is a conceptual riddle rather than a geometric one."
"I am an even number. I am greater than 2 and less than 8. What number am I?","The number can be 4 or 6. These are the even numbers within the specified range."
"What is the next number in the sequence: 1, 4, 9, 16, 25, ...?","The next number is 36. These numbers are the squares of integers: 1², 2², 3², 4², 5², 6²."
"What 3 positive numbers give the same answer when multiplied and added together?","The numbers are 1, 2, and 3. When multiplied: 1×2×3=6. When added: 1+2+3=6."
"I add five to nine and get two. The answer is correct, but how?","This occurs on a clock. Starting at 9 AM, adding 5 hours brings you to 2 PM."
"If you multiply me by any other number, the answer will always remain the same. What number am I?","The number is zero. Multiplying 0 by any number results in 0."
"What is the smallest whole number that is equal to seven times the sum of its digits?","The number is 21. The sum of the digits 2+1=3, and 7×3=21."
"I have keys but open no locks. I have space but no room. You can enter but not go outside. What am I?","The answer is a keyboard, which has keys, space (space bar), and an enter key."
"What two whole numbers multiply to 36 and add to 13?","The numbers are 4 and 9. 4×9=36 and 4+9=13."
"What is the smallest number that is evenly divisible by all numbers from 1 to 10?","The number is 2520. This is the least common multiple of the numbers 1 through 10."
"How many times can you subtract 10 from 100?","You can subtract 10 from 100 once. After that, you are subtracting 10 from 90, not 100."
"What comes once in a minute, twice in a moment, but never in a thousand years?","The letter 'M'. It appears once in 'minute,' twice in 'moment,' and not at all in 'thousand years.'"
"I am a number that is neither prime nor composite. What number am I?","The number is one. It is neither prime (no two distinct positive divisors) nor composite (more than two distinct positive divisors)."
"What two numbers come out the same whether you multiply or add them?","The numbers are 2 and 2. 2+2=4 and 2×2=4."
"What is the value of the Roman numeral 'L'?","The value is 50."
"I am a number that is half of 8. What number am I?","The number is 4 or 0.5. Depending on whether you interpret 'half' as division or visually (cutting an 8 in half vertically looks like a 3)."
"What number gets bigger when you turn it upside down?","The number is 6, which becomes 9 when turned upside down."
"I have two apples. If you take away two from me, how many do you have?","You have two apples because you took them from me."
"What number is three less than a dozen?","The number is nine. A dozen is 12, and 12 minus 3 equals 9."
"What number is twice as much as a dozen?","The number is 24. A dozen is 12, and twice that amount is 2×12=24."
"What number can you always subtract from itself without changing its value?","The number is zero. Subtracting 0 from 0 leaves 0."
"What number remains the same when multiplied by itself?","The number is one. 1×1=1."
"I am a four-digit number. My first digit is one-third of the last. My second digit is twice the first, and my third digit is three times the first. What number am I?","The number is 1349. Explanation: If the last digit is 9, the first is 9/3=3, the second is 3×2=6, and the third is 3×3=9."
"What number is the square root of 81?","The number is nine. 81=9."
